SKU,Replacement
DD4-GSTUG-G,black-ball-01
DD4-GSTUG-G,black-sq-02
ICE-TRAY-01,ice-tray-02
BALL-TRAY-02,black-ball-01
C9-R9K1-M7M6,black-sq-02
C9-R9K1-M7M6,black-ball-02
5R-Z2GT-XZTZ,blue-3com-04
